コード,銘柄名,市場・商品区分
3050,ＤＣＭホールディングス,市場第一部（内国株）
3053,ペッパーフードサービス,市場第一部（内国株）
3054,ハイパー,市場第一部（内国株）
3058,三洋堂ホールディングス,JASDAQ(スタンダード・内国株）
3059,ヒラキ,市場第二部（内国株）
3063,ジェイグループホールディングス,マザーズ（内国株）
3064,ＭｏｎｏｔａＲＯ,市場第一部（内国株）
3065,ライフフーズ,JASDAQ(スタンダード・内国株）
3067,東京一番フーズ,市場第一部（内国株）
3068,ＷＤＩ,JASDAQ(スタンダード・内国株）
3069,ＪＦＬＡホールディングス,JASDAQ(スタンダード・内国株）
3070,アマガサ,JASDAQ(グロース・内国株）
3071,ストリーム,市場第二部（内国株）
3073,ＤＤホールディングス,市場第一部（内国株）
3075,銚子丸,JASDAQ(スタンダード・内国株）
3076,あい　ホールディングス,市場第一部（内国株）
3077,ホリイフードサービス,JASDAQ(スタンダード・内国株）
3079,ディーブイエックス,市場第一部（内国株）
3080,ジェーソン,JASDAQ(スタンダード・内国株）
3082,きちりホールディングス,市場第一部（内国株）
3083,シーズメン,JASDAQ(スタンダード・内国株）
3085,アークランドサービスホールディングス,市場第一部（内国株）
3086,Ｊ．フロント　リテイリング,市場第一部（内国株）
3087,ドトール・日レスホールディングス,市場第一部（内国株）
3088,マツモトキヨシホールディングス,市場第一部（内国株）
3089,テクノアルファ,JASDAQ(スタンダード・内国株）
3091,ブロンコビリー,市場第一部（内国株）
3092,ＺＯＺＯ,市場第一部（内国株）
3093,トレジャー・ファクトリー,市場第一部（内国株）
3094,スーパーバリュー,JASDAQ(スタンダード・内国株）
3096,オーシャンシステム,JASDAQ(スタンダード・内国株）
3097,物語コーポレーション,市場第一部（内国株）
3098,ココカラファイン,市場第一部（内国株）
3099,三越伊勢丹ホールディングス,市場第一部（内国株）
3101,東洋紡,市場第一部（内国株）
3103,ユニチカ,市場第一部（内国株）
3104,富士紡ホールディングス,市場第一部（内国株）
3105,日清紡ホールディングス,市場第一部（内国株）
3106,倉敷紡績,市場第一部（内国株）
3107,ダイワボウホールディングス,市場第一部（内国株）
3109,シキボウ,市場第一部（内国株）
3110,日東紡績,市場第一部（内国株）
3111,オーミケンシ,市場第二部（内国株）
3113,Ｏａｋ　キャピタル,市場第二部（内国株）
3116,トヨタ紡織,市場第一部（内国株）
3121,マーチャント・バンカーズ,市場第二部（内国株）
3123,サイボー,市場第二部（内国株）
3125,新内外綿,市場第二部（内国株）
3131,シンデン・ハイテックス,JASDAQ(スタンダード・内国株）
3132,マクニカ・富士エレホールディングス,市場第一部（内国株）
3133,海帆,マザーズ（内国株）
3134,Ｈａｍｅｅ,市場第一部（内国株）
3135,マーケットエンタープライズ,マザーズ（内国株）
3137,ファンデリー,マザーズ（内国株）
3138,富士山マガジンサービス,マザーズ（内国株）
3139,ラクト・ジャパン,市場第一部（内国株）
3140,イデアインターナショナル,JASDAQ(グロース・内国株）
3141,ウエルシアホールディングス,市場第一部（内国株）
3143,オーウイル,市場第二部（内国株）
3148,クリエイトＳＤホールディングス,市場第一部（内国株）
3150,グリムス,市場第一部（内国株）
3151,バイタルケーエスケー・ホールディングス,市場第一部（内国株）
3153,八洲電機,市場第一部（内国株）
3154,メディアスホールディングス,市場第一部（内国株）
3156,レスターホールディングス,市場第一部（内国株）
3157,ジューテックホールディングス,市場第一部（内国株）
3159,丸善ＣＨＩホールディングス,市場第一部（内国株）
3160,大光,市場第一部（内国株）
3161,アゼアス,市場第二部（内国株）
3166,ＯＣＨＩホールディングス,市場第一部（内国株）
3167,ＴＯＫＡＩホールディングス,市場第一部（内国株）
3168,黒谷,市場第一部（内国株）
3169,ミサワ,市場第一部（内国株）
3172,ティーライフ,市場第一部（内国株）
3173,Ｃｏｍｉｎｉｘ,市場第一部（内国株）
3174,ハピネス・アンド・ディ,JASDAQ(スタンダード・内国株）
3175,エー・ピーホールディングス,市場第一部（内国株）
3176,三洋貿易,市場第一部（内国株）
3177,ありがとうサービス,JASDAQ(スタンダード・内国株）
3178,チムニー,市場第一部（内国株）
3179,シュッピン,市場第一部（内国株）
3180,ビューティガレージ,市場第一部（内国株）
3181,買取王国,JASDAQ(スタンダード・内国株）
3182,オイシックス・ラ・大地,市場第一部（内国株）
3183,ウイン・パートナーズ,市場第一部（内国株）
3184,ＩＣＤＡホールディングス,市場第二部（内国株）
3185,夢展望,マザーズ（内国株）
3186,ネクステージ,市場第一部（内国株）
3187,サンワカンパニー,マザーズ（内国株）
3189,ＡＮＡＰ,JASDAQ(スタンダード・内国株）
3190,ホットマン,JASDAQ(スタンダード・内国株）
3191,ジョイフル本田,市場第一部（内国株）
3192,白鳩,JASDAQ(スタンダード・内国株）
3193,鳥貴族,市場第一部（内国株）
3195,ジェネレーションパス,マザーズ（内国株）
3196,ホットランド,市場第一部（内国株）
3197,すかいらーくホールディングス,市場第一部（内国株）
3198,ＳＦＰホールディングス,市場第一部（内国株）
3199,綿半ホールディングス,市場第一部（内国株）
3201,日本毛織,市場第一部（内国株）
3202,ダイトウボウ,市場第一部（内国株）
3204,トーア紡コーポレーション,市場第一部（内国株）
3205,ダイドーリミテッド,市場第一部（内国株）
3221,ヨシックス,市場第一部（内国株）
3222,ユナイテッド・スーパーマーケット・ホールディングス,市場第一部（内国株）
3223,エスエルディー,JASDAQ(スタンダード・内国株）
3224,ゼネラル・オイスター,マザーズ（内国株）
3226,日本アコモデーションファンド投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3227,ＭＣＵＢＳ　ＭｉｄＣｉｔｙ投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3228,三栄建築設計,市場第一部（内国株）
3231,野村不動産ホールディングス,市場第一部（内国株）
3232,三重交通グループホールディングス,市場第一部（内国株）
3234,森ヒルズリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3236,プロパスト,JASDAQ(スタンダード・内国株）
3237,イントランス,マザーズ（内国株）
3238,セントラル総合開発,市場第二部（内国株）
3241,ウィル,市場第二部（内国株）
3242,アーバネットコーポレーション,JASDAQ(スタンダード・内国株）
3244,サムティ,市場第一部（内国株）
3245,ディア・ライフ,市場第一部（内国株）
3246,コーセーアールイー,市場第一部（内国株）
3248,アールエイジ,市場第二部（内国株）
3249,産業ファンド投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3252,日本商業開発,市場第一部（内国株）
3254,プレサンスコーポレーション,市場第一部（内国株）
3261,グランディーズ,マザーズ（内国株）
3264,アスコット,JASDAQ(スタンダード・内国株）
3266,ファンドクリエーショングループ,JASDAQ(スタンダード・内国株）
3267,フィル・カンパニー,市場第一部（内国株）
3269,アドバンス・レジデンス投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3271,ＴＨＥグローバル社,市場第一部（内国株）
3275,ハウスコム,市場第一部（内国株）
3276,日本管理センター,市場第一部（内国株）
3277,サンセイランディック,市場第一部（内国株）
3278,ケネディクス・レジデンシャル・ネクスト投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3279,アクティビア・プロパティーズ投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3280,エストラスト,市場第一部（内国株）
3281,ＧＬＰ投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3282,コンフォリア・レジデンシャル投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3283,日本プロロジスリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3284,フージャースホールディングス,市場第一部（内国株）
3286,トラストホールディングス,マザーズ（内国株）
3287,星野リゾート・リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3288,オープンハウス,市場第一部（内国株）
3289,東急不動産ホールディングス,市場第一部（内国株）
3290,Ｏｎｅリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3291,飯田グループホールディングス,市場第一部（内国株）
3292,イオンリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3293,アズマハウス,JASDAQ(スタンダード・内国株）
3294,イーグランド,市場第一部（内国株）
3295,ヒューリックリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3296,日本リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3297,東武住販,JASDAQ(スタンダード・内国株）
3298,インベスコ・オフィス・ジェイリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3299,ムゲンエステート,市場第一部（内国株）
3300,ＡＭＢＩＴＩＯＮ,マザーズ（内国株）
3302,帝国繊維,市場第一部（内国株）
3306,日本製麻,市場第二部（内国株）
3309,積水ハウス・リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3315,日本コークス工業,市場第一部（内国株）
3316,東京日産コンピュータシステム,JASDAQ(スタンダード・内国株）
3317,フライングガーデン,JASDAQ(スタンダード・内国株）
3319,ゴルフダイジェスト・オンライン,市場第一部（内国株）
3320,クロスプラス,市場第二部（内国株）
3321,ミタチ産業,市場第一部（内国株）
3322,アルファグループ,JASDAQ(スタンダード・内国株）
3323,レカム,JASDAQ(スタンダード・内国株）
3326,ランシステム,JASDAQ(スタンダード・内国株）
3328,ＢＥＥＮＯＳ,市場第一部（内国株）
3329,東和フードサービス,JASDAQ(スタンダード・内国株）
3333,あさひ,市場第一部（内国株）
3341,日本調剤,市場第一部（内国株）
3344,ワンダーコーポレーション,JASDAQ(スタンダード・内国株）
3347,トラスト,市場第二部（内国株）
3349,コスモス薬品,市場第一部（内国株）
3350,レッド・プラネット・ジャパン,JASDAQ(スタンダード・内国株）
3352,バッファロー,JASDAQ(スタンダード・内国株）
3353,メディカル一光グループ,JASDAQ(スタンダード・内国株）
3355,クリヤマホールディングス,市場第二部（内国株）
3356,テリロジー,JASDAQ(スタンダード・内国株）
3358,ワイエスフード,JASDAQ(スタンダード・内国株）
3359,ｃｏｔｔａ,マザーズ（内国株）
3360,シップヘルスケアホールディングス,市場第一部（内国株）
3361,トーエル,市場第一部（内国株）
3370,フジタコーポレーション,JASDAQ(スタンダード・内国株）
3371,ソフトクリエイトホールディングス,市場第一部（内国株）
3372,関門海,市場第二部（内国株）
3374,内外テック,JASDAQ(スタンダード・内国株）
3375,ＺＯＡ,JASDAQ(スタンダード・内国株）
3376,オンリー,市場第一部（内国株）
3377,バイク王＆カンパニー,市場第二部（内国株）
3382,セブン＆アイ・ホールディングス,市場第一部（内国株）
3386,コスモ・バイオ,JASDAQ(スタンダード・内国株）
3387,クリエイト・レストランツ・ホールディングス,市場第一部（内国株）
3388,明治電機工業,市場第一部（内国株）
3390,ＩＮＥＳＴ,JASDAQ(スタンダード・内国株）
3391,ツルハホールディングス,市場第一部（内国株）
3392,デリカフーズホールディングス,市場第一部（内国株）
3393,スターティアホールディングス,市場第一部（内国株）
3395,サンマルクホールディングス,市場第一部（内国株）
3396,フェリシモ,市場第一部（内国株）
3397,トリドールホールディングス,市場第一部（内国株）
3399,丸千代山岡家,JASDAQ(スタンダード・内国株）
3401,帝人,市場第一部（内国株）
3402,東レ,市場第一部（内国株）
3405,クラレ,市場第一部（内国株）
3407,旭化成,市場第一部（内国株）
3408,サカイオーベックス,市場第一部（内国株）
3409,北日本紡績,市場第二部（内国株）
3415,ＴＯＫＹＯ　ＢＡＳＥ,市場第一部（内国株）
3416,ピクスタ,マザーズ（内国株）
3417,大木ヘルスケアホールディングス,JASDAQ(スタンダード・内国株）
3418,バルニバービ,マザーズ（内国株）
3420,ケー・エフ・シー,市場第二部（内国株）
3421,稲葉製作所,市場第一部（内国株）
3423,エスイー,JASDAQ(スタンダード・内国株）
3426,アトムリビンテック,JASDAQ(スタンダード・内国株）
3431,宮地エンジニアリンググループ,市場第一部（内国株）
3433,トーカロ,市場第一部（内国株）
3434,アルファＣｏ,市場第一部（内国株）
3435,サンコーテクノ,市場第二部（内国株）
3436,ＳＵＭＣＯ,市場第一部（内国株）
3437,特殊電極,JASDAQ(スタンダード・内国株）
3439,三ツ知,JASDAQ(スタンダード・内国株）
3440,日創プロニティ,市場第二部（内国株）
3441,山王,JASDAQ(スタンダード・内国株）
3443,川田テクノロジーズ,市場第一部（内国株）
3444,菊池製作所,JASDAQ(スタンダード・内国株）
3445,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,市場第一部（内国株）
3446,ジェイテックコーポレーション,市場第一部（内国株）
3447,信和,市場第一部（内国株）
3449,テクノフレックス,市場第二部（内国株）
3451,トーセイ・リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3452,ビーロット,市場第一部（内国株）
3453,ケネディクス商業リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3454,ファーストブラザーズ,市場第一部（内国株）
3455,ヘルスケア＆メディカル投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3457,ハウスドゥ,市場第一部（内国株）
3458,シーアールイー,市場第一部（内国株）
3459,サムティ・レジデンシャル投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3461,パルマ,マザーズ（内国株）
3462,野村不動産マスターファンド投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3463,いちごホテルリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3464,プロパティエージェント,市場第一部（内国株）
3465,ケイアイスター不動産,市場第一部（内国株）
3466,ラサールロジポート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3467,アグレ都市デザイン,市場第一部（内国株）
3468,スターアジア不動産投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3469,デュアルタップ,市場第二部（内国株）
3470,マリモ地方創生リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3471,三井不動産ロジスティクスパーク投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3472,大江戸温泉リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3474,Ｇ−ＦＡＣＴＯＲＹ,マザーズ（内国株）
3475,グッドコムアセット,市場第一部（内国株）
3476,投資法人みらい,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3477,フォーライフ,マザーズ（内国株）
3478,森トラスト・ホテルリート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3479,ティーケーピー,マザーズ（内国株）
3480,ジェイ・エス・ビー,市場第一部（内国株）
3481,三菱地所物流リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3482,ロードスターキャピタル,マザーズ（内国株）
3484,テンポイノベーション,市場第一部（内国株）
3486,グローバル・リンク・マネジメント,市場第一部（内国株）
3487,ＣＲＥロジスティクスファンド投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3488,ザイマックス・リート投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3489,フェイスネットワーク,マザーズ（内国株）
3490,アズ企画設計,JASDAQ(スタンダード・内国株）
3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,マザーズ（内国株）
3492,タカラレーベン不動産投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3493,伊藤忠アドバンス・ロジスティクス投資法人,REIT・ベンチャーファンド・カントリーファンド・インフラファンド
3494,マリオン,JASDAQ(スタンダード・内国株）
3495,香陵住販,JASDAQ(スタンダード・内国株）
3496,アズーム,マザーズ（内国株）
3497,リーガル不動産,マザーズ（内国株）
3498,霞ヶ関キャピタル,マザーズ（内国株）
3501,住江織物,市場第一部（内国株）
3512,日本フエルト,市場第一部（内国株）
3513,イチカワ,市場第一部（内国株）
3515,フジコー,JASDAQ(スタンダード・内国株）
3521,エコナックホールディングス,市場第一部（内国株）
3524,日東製網,市場第一部（内国株）
3526,芦森工業,市場第一部（内国株）
3528,プロスペクト,市場第二部（内国株）
3529,アツギ,市場第一部（内国株）
3536,アクサスホールディングス,JASDAQ(スタンダード・内国株）
3537,昭栄薬品,JASDAQ(スタンダード・内国株）
3538,ウイルプラスホールディングス,市場第一部（内国株）
3539,ＪＭホールディングス,市場第一部（内国株）
3540,歯愛メディカル,JASDAQ(スタンダード・内国株）
3541,農業総合研究所,マザーズ（内国株）
3542,ベガコーポレーション,マザーズ（内国株）
3543,コメダホールディングス,市場第一部（内国株）
3544,サツドラホールディングス,市場第一部（内国株）
3546,アレンザホールディングス,市場第一部（内国株）
3547,串カツ田中ホールディングス,市場第一部（内国株）
3548,バロックジャパンリミテッド,市場第一部（内国株）
3549,クスリのアオキホールディングス,市場第一部（内国株）
3550,スタジオアタオ,マザーズ（内国株）
3551,ダイニック,市場第一部（内国株）
3553,共和レザー,市場第一部（内国株）
3556,リネットジャパングループ,マザーズ（内国株）
3557,ユナイテッド＆コレクティブ,マザーズ（内国株）
3558,ロコンド,マザーズ（内国株）
3559,ピーバンドットコム,市場第一部（内国株）
3560,ほぼ日,JASDAQ(スタンダード・内国株）
3561,力の源ホールディングス,市場第一部（内国株）
3562,Ｎｏ．１,JASDAQ(スタンダード・内国株）
3563,スシローグローバルホールディングス,市場第一部（内国株）
3565,アセンテック,市場第一部（内国株）
3566,ユニフォームネクスト,マザーズ（内国株）
3569,セーレン,市場第一部（内国株）
3571,ソトー,市場第一部（内国株）
3577,東海染工,市場第一部（内国株）
3578,倉庫精練,市場第二部（内国株）
3580,小松マテーレ,市場第一部（内国株）
3583,オーベクス,市場第二部（内国株）
3591,ワコールホールディングス,市場第一部（内国株）
3593,ホギメディカル,市場第一部（内国株）
3597,自重堂,市場第二部（内国株）
3598,山喜,市場第二部（内国株）
3600,フジックス,市場第二部（内国株）
3604,川本産業,市場第二部（内国株）
3607,クラウディアホールディングス,市場第一部（内国株）
3608,ＴＳＩホールディングス,市場第一部（内国株）
3611,マツオカコーポレーション,市場第一部（内国株）
3612,ワールド,市場第一部（内国株）
3622,ネットイヤーグループ,マザーズ（内国株）
3623,ビリングシステム,マザーズ（内国株）
3624,アクセルマーク,マザーズ（内国株）
3625,テックファームホールディングス,JASDAQ(グロース・内国株）
3626,ＴＩＳ,市場第一部（内国株）
3627,ＪＮＳホールディングス,市場第一部（内国株）
3628,データホライゾン,マザーズ（内国株）
3630,電算システム,市場第一部（内国株）
3632,グリー,市場第一部（内国株）
3633,ＧＭＯペパボ,市場第一部（内国株）
3634,ソケッツ,市場第二部（内国株）
3635,コーエーテクモホールディングス,市場第一部（内国株）
3636,三菱総合研究所,市場第一部（内国株）
3639,ボルテージ,市場第一部（内国株）
3640,電算,市場第一部（内国株）
3641,パピレス,JASDAQ(スタンダード・内国株）
3645,メディカルネット,マザーズ（内国株）
3646,駅探,マザーズ（内国株）
3647,ジー・スリーホールディングス,市場第二部（内国株）
3648,ＡＧＳ,市場第一部（内国株）
3649,ファインデックス,市場第一部（内国株）
3652,ディジタルメディアプロフェッショナル,マザーズ（内国株）
3653,モルフォ,マザーズ（内国株）
3655,ブレインパッド,市場第一部（内国株）
3656,ＫＬａｂ,市場第一部（内国株）
3657,ポールトゥウィン・ピットクルーホールディングス,市場第一部（内国株）
3658,イーブックイニシアティブジャパン,市場第一部（内国株）
3659,ネクソン,市場第一部（内国株）
3660,アイスタイル,市場第一部（内国株）
3661,エムアップホールディングス,市場第一部（内国株）
3662,エイチーム,市場第一部（内国株）
3663,アートスパークホールディングス,市場第二部（内国株）
3664,モブキャストホールディングス,マザーズ（内国株）
3665,エニグモ,市場第一部（内国株）
3666,テクノスジャパン,市場第一部（内国株）
3667,ｅｎｉｓｈ,市場第一部（内国株）
3668,コロプラ,市場第一部（内国株）
3670,協立情報通信,JASDAQ(スタンダード・内国株）
3671,ソフトマックス,マザーズ（内国株）
3672,オルトプラス,市場第一部（内国株）
3673,ブロードリーフ,市場第一部（内国株）
3674,オークファン,マザーズ（内国株）
3675,クロス・マーケティンググループ,市場第一部（内国株）
3676,デジタルハーツホールディングス,市場第一部（内国株）
3677,システム情報,市場第一部（内国株）
3678,メディアドゥ,市場第一部（内国株）
3679,じげん,市場第一部（内国株）
3680,ホットリンク,マザーズ（内国株）
3681,ブイキューブ,市場第一部（内国株）
3682,エンカレッジ・テクノロジ,市場第一部（内国株）
3683,サイバーリンクス,市場第一部（内国株）
3686,ディー・エル・イー,市場第一部（内国株）
3687,フィックスターズ,市場第一部（内国株）
3688,ＣＡＲＴＡ　ＨＯＬＤＩＮＧＳ,市場第一部（内国株）
3689,イグニス,マザーズ（内国株）
3690,イルグルム,マザーズ（内国株）
3691,リアルワールド,マザーズ（内国株）
3692,ＦＦＲＩセキュリティ,マザーズ（内国株）
3694,オプティム,市場第一部（内国株）
3695,ＧＭＯリサーチ,マザーズ（内国株）
3696,セレス,市場第一部（内国株）
3697,ＳＨＩＦＴ,市場第一部（内国株）
3698,ＣＲＩ・ミドルウェア,マザーズ（内国株）
3708,特種東海製紙,市場第一部（内国株）
3710,ジョルダン,JASDAQ(スタンダード・内国株）
3712,情報企画,市場第二部（内国株）
3719,ジェクシード,JASDAQ(スタンダード・内国株）
3723,日本ファルコム,マザーズ（内国株）
3726,フォーシーズホールディングス,市場第二部（内国株）
3727,アプリックス,マザーズ（内国株）
3733,ソフトウェア・サービス,JASDAQ(スタンダード・内国株）
3738,ティーガイア,市場第一部（内国株）
3741,セック,市場第一部（内国株）
3744,サイオス,市場第二部（内国株）
3747,インタートレード,市場第二部（内国株）
3750,ＦＲＡＣＴＡＬＥ,市場第二部（内国株）
3751,日本アジアグループ,市場第一部（内国株）
3753,フライトホールディングス,市場第二部（内国株）
3758,アエリア,JASDAQ(スタンダード・内国株）
3760,ケイブ,JASDAQ(スタンダード・内国株）
3762,テクマトリックス,市場第一部（内国株）
3763,プロシップ,市場第一部（内国株）
3765,ガンホー・オンライン・エンターテイメント,市場第一部（内国株）
3766,システムズ・デザイン,JASDAQ(スタンダード・内国株）
3768,リスクモンスター,市場第二部（内国株）
3769,ＧＭＯペイメントゲートウェイ,市場第一部（内国株）
3770,ザッパラス,市場第一部（内国株）
3771,システムリサーチ,市場第一部（内国株）
3772,ウェルス・マネジメント,市場第二部（内国株）
3773,アドバンスト・メディア,マザーズ（内国株）
3774,インターネットイニシアティブ,市場第一部（内国株）
3776,ブロードバンドタワー,JASDAQ(スタンダード・内国株）
3777,ＦＨＴホールディングス,JASDAQ(グロース・内国株）
3778,さくらインターネット,市場第一部（内国株）
3779,ジェイ・エスコムホールディングス,JASDAQ(スタンダード・内国株）
3782,ディー・ディー・エス,マザーズ（内国株）
3784,ヴィンクス,市場第一部（内国株）
3787,テクノマセマティカル,市場第二部（内国株）
3788,ＧＭＯグローバルサイン・ホールディングス,市場第一部（内国株）
3791,ＩＧポート,JASDAQ(スタンダード・内国株）
3793,ドリコム,マザーズ（内国株）
3796,いい生活,市場第二部（内国株）
3798,ＵＬＳグループ,JASDAQ(スタンダード・内国株）
3799,キーウェアソリューションズ,市場第二部（内国株）
3800,ユニリタ,JASDAQ(スタンダード・内国株）
3802,エコミック,JASDAQ(スタンダード・内国株）
3803,イメージ情報開発,JASDAQ(グロース・内国株）
3804,システム　ディ,JASDAQ(スタンダード・内国株）
3807,フィスコ,JASDAQ(グロース・内国株）
3810,サイバーステップ,市場第二部（内国株）
3814,アルファクス・フード・システム,JASDAQ(グロース・内国株）
3815,メディア工房,マザーズ（内国株）
3816,大和コンピューター,JASDAQ(スタンダード・内国株）
3817,ＳＲＡホールディングス,市場第一部（内国株）
3823,アクロディア,市場第二部（内国株）
3825,リミックスポイント,市場第二部（内国株）
3826,システムインテグレータ,市場第一部（内国株）
3834,朝日ネット,市場第一部（内国株）
3835,ｅＢＡＳＥ,市場第一部（内国株）
3836,アバント,市場第一部（内国株）
3837,アドソル日進,市場第一部（内国株）
3839,ＯＤＫソリューションズ,市場第一部（内国株）
3840,パス,市場第二部（内国株）
3841,ジーダット,JASDAQ(スタンダード・内国株）
3842,ネクストジェン,JASDAQ(グロース・内国株）
3843,フリービット,市場第一部（内国株）
3844,コムチュア,市場第一部（内国株）
3845,アイフリークモバイル,JASDAQ(スタンダード・内国株）
3847,パシフィックシステム,JASDAQ(スタンダード・内国株）
3848,データ・アプリケーション,JASDAQ(スタンダード・内国株）
3850,エヌ・ティ・ティ・データ・イントラマート,市場第二部（内国株）
3851,日本一ソフトウェア,JASDAQ(スタンダード・内国株）
3852,サイバーコム,市場第一部（内国株）
3853,アステリア,市場第一部（内国株）
3854,アイル,市場第一部（内国株）
3856,Ａｂａｌａｎｃｅ,市場第二部（内国株）
3857,ラック,JASDAQ(スタンダード・内国株）
3858,ユビキタスＡＩコーポレーション,JASDAQ(スタンダード・内国株）
3861,王子ホールディングス,市場第一部（内国株）
3863,日本製紙,市場第一部（内国株）
3864,三菱製紙,市場第一部（内国株）
3865,北越コーポレーション,市場第一部（内国株）
3877,中越パルプ工業,市場第一部（内国株）
3878,巴川製紙所,市場第一部（内国株）
3880,大王製紙,市場第一部（内国株）
3891,ニッポン高度紙工業,JASDAQ(スタンダード・内国株）
3892,岡山製紙,JASDAQ(スタンダード・内国株）
3895,ハビックス,JASDAQ(スタンダード・内国株）
3896,阿波製紙,市場第一部（内国株）
3900,クラウドワークス,マザーズ（内国株）
3901,マークラインズ,市場第一部（内国株）
3902,メディカル・データ・ビジョン,市場第一部（内国株）
3903,ｇｕｍｉ,市場第一部（内国株）
3904,カヤック,マザーズ（内国株）
3905,データセクション,マザーズ（内国株）
3906,ＡＬＢＥＲＴ,マザーズ（内国株）
3907,シリコンスタジオ,マザーズ（内国株）
3908,コラボス,マザーズ（内国株）
3909,ショーケース,市場第一部（内国株）
3910,エムケイシステム,JASDAQ(スタンダード・内国株）
3911,Ａｉｍｉｎｇ,マザーズ（内国株）
3912,モバイルファクトリー,市場第一部（内国株）
3913,ｓＭｅｄｉｏ,マザーズ（内国株）
3914,ＪＩＧ−ＳＡＷ,マザーズ（内国株）
3915,テラスカイ,市場第一部（内国株）
3916,デジタル・インフォメーション・テクノロジー,市場第一部（内国株）
3917,アイリッジ,マザーズ（内国株）
3918,ＰＣＩホールディングス,市場第一部（内国株）
3919,パイプドＨＤ,市場第一部（内国株）
3920,アイビーシー,市場第一部（内国株）
3921,ネオジャパン,市場第一部（内国株）
3922,ＰＲ　ＴＩＭＥＳ,市場第一部（内国株）
3923,ラクス,マザーズ（内国株）
3924,ランドコンピュータ,市場第一部（内国株）
3925,ダブルスタンダード,市場第一部（内国株）
3926,オープンドア,市場第一部（内国株）
3927,フーバーブレイン,マザーズ（内国株）
3928,マイネット,市場第一部（内国株）
3929,ソーシャルワイヤー,マザーズ（内国株）
3930,はてな,マザーズ（内国株）
3931,バリューゴルフ,マザーズ（内国株）
3932,アカツキ,市場第一部（内国株）
3933,チエル,JASDAQ(スタンダード・内国株）
3934,ベネフィットジャパン,市場第一部（内国株）
3935,エディア,マザーズ（内国株）
3936,グローバルウェイ,マザーズ（内国株）
3937,Ｕｂｉｃｏｍホールディングス,市場第一部（内国株）
3939,カナミックネットワーク,市場第一部（内国株）
3940,ノムラシステムコーポレーション,市場第一部（内国株）
3941,レンゴー,市場第一部（内国株）
3944,古林紙工,市場第二部（内国株）
3945,スーパーバッグ,市場第二部（内国株）
3946,トーモク,市場第一部（内国株）
3947,ダイナパック,市場第二部（内国株）
3948,光ビジネスフォーム,JASDAQ(スタンダード・内国株）
3950,ザ・パック,市場第一部（内国株）
3951,朝日印刷,市場第二部（内国株）
3953,大村紙業,JASDAQ(スタンダード・内国株）
3954,昭和パックス,JASDAQ(スタンダード・内国株）
3955,イムラ封筒,市場第二部（内国株）
3956,国際チャート,JASDAQ(スタンダード・内国株）
3960,バリューデザイン,マザーズ（内国株）
3961,シルバーエッグ・テクノロジー,マザーズ（内国株）
3962,チェンジ,市場第一部（内国株）
3963,シンクロ・フード,市場第一部（内国株）
3964,オークネット,市場第一部（内国株）
3965,キャピタル・アセット・プランニング,市場第一部（内国株）
3966,ユーザベース,マザーズ（内国株）
