コード,銘柄名,市場・商品区分
1451,ＫＨＣ,市場第二部（内国株）
1456,ダイワ上場投信−日経平均インバース・インデックス,ETF・ETN
1457,ダイワ上場投信−ＴＯＰＩＸインバース（−１倍）指数,ETF・ETN
1458,楽天ＥＴＦ‐日経レバレッジ指数連動型,ETF・ETN
1459,楽天ＥＴＦ‐日経ダブルインバース指数連動型,ETF・ETN
1460,ＭＡＸＩＳ　ＪＡＰＡＮ　クオリティ１５０上場投信,ETF・ETN
1464,ダイワ上場投信−ＪＰＸ日経４００レバレッジ・インデックス,ETF・ETN
1465,ダイワ上場投信−ＪＰＸ日経４００インバース・インデックス,ETF・ETN
1466,ダイワ上場投信−ＪＰＸ日経４００ダブルインバース・インデックス,ETF・ETN
1467,ＪＰＸ日経４００ブル２倍上場投信（レバレッジ）,ETF・ETN
1468,ＪＰＸ日経４００ベア上場投信（インバース）,ETF・ETN
1469,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,ETF・ETN
1470,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００レバレッジ・インデックス連動型上場投信,ETF・ETN
1471,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００インバース・インデックス連動型上場投信,ETF・ETN
1472,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,ETF・ETN
1473,Ｏｎｅ　ＥＴＦ　トピックス,ETF・ETN
1474,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,ETF・ETN
1475,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,ETF・ETN
1476,ｉシェアーズ・コア　Ｊリート　ＥＴＦ,ETF・ETN
1477,ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ,ETF・ETN
1478,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ,ETF・ETN
1479,ダイワ上場投信−ＭＳＣＩ日本株人材設備投資指数,ETF・ETN
1480,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信,ETF・ETN
1481,上場インデックスファンド日本経済貢献株,ETF・ETN
1482,ｉシェアーズ・コア　米国債７−１０年　ＥＴＦ（為替ヘッジあり）,ETF・ETN
1483,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ,ETF・ETN
1484,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数,ETF・ETN
1485,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信,ETF・ETN
1486,上場インデックスファンド米国債券（為替ヘッジなし）,ETF・ETN
1487,上場インデックスファンド米国債券（為替ヘッジあり）,ETF・ETN
1488,ダイワ上場投信−東証ＲＥＩＴ指数,ETF・ETN
1489,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,ETF・ETN
1490,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）,ETF・ETN
1491,中外鉱業,市場第二部（内国株）
1492,ＭＡＸＩＳ　ＪＰＸ　日経中小型株指数上場投信,ETF・ETN
1493,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,ETF・ETN
1494,Ｏｎｅ　ＥＴＦ　高配当日本株,ETF・ETN
1495,上場インデックスファンドアジアリート,ETF・ETN
1496,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）,ETF・ETN
1497,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）,ETF・ETN
1498,Ｏｎｅ　ＥＴＦ　ＥＳＧ,ETF・ETN
1499,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信,ETF・ETN
1514,住石ホールディングス,市場第一部（内国株）
1515,日鉄鉱業,市場第一部（内国株）
1518,三井松島ホールディングス,市場第一部（内国株）
1540,純金上場信託（現物国内保管型）,ETF・ETN
1541,純プラチナ上場信託（現物国内保管型）,ETF・ETN
1542,純銀上場信託（現物国内保管型）,ETF・ETN
1543,純パラジウム上場信託（現物国内保管型）,ETF・ETN
1545,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ−１００連動型上場投信,ETF・ETN
1546,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価連動型上場投信,ETF・ETN
1547,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,ETF・ETN
1550,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信,ETF・ETN
1551,ＪＡＳＤＡＱ−ＴＯＰ２０上場投信,ETF・ETN
1552,国際のＥＴＦ　ＶＩＸ短期先物指数,ETF・ETN
1554,上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本,ETF・ETN
1555,上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ‐ＲＥＩＴ）,ETF・ETN
1557,ＳＰＤＲ　Ｓ＆Ｐ５００　ＥＴＦ,ETF・ETN
1559,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信,ETF・ETN
1560,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信,ETF・ETN
1563,マザーズ・コア上場投信,ETF・ETN
1566,上場インデックスファンド新興国債券,ETF・ETN
1567,ＭＡＸＩＳトピックスリスクコントロール（５％）上場投信,ETF・ETN
1568,ＴＯＰＩＸブル２倍上場投信,ETF・ETN
1569,ＴＯＰＩＸベア上場投信,ETF・ETN
1570,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信,ETF・ETN
1571,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信,ETF・ETN
1572,中国Ｈ株ブル２倍上場投信,ETF・ETN
1573,中国Ｈ株ベア上場投信,ETF・ETN
1574,ＭＡＸＩＳトピックスリスクコントロール（１０％）上場投信,ETF・ETN
1575,ＣｈｉｎａＡＭＣ　ＣＳＩ　３００　Ｉｎｄｅｘ　ＥＴＦ−ＪＤＲ,ETF・ETN
1576,南方　ＦＴＳＥ　中国Ａ株５０　ＥＴＦ,ETF・ETN
1577,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信,ETF・ETN
1578,上場インデックスファンド日経２２５（ミニ）,ETF・ETN
1579,日経平均ブル２倍上場投信,ETF・ETN
1580,日経平均ベア上場投信,ETF・ETN
1584,サムスンＫＯＤＥＸサムスングループ株証券上場指数投資信託［株式］,ETF・ETN
1585,ダイワ上場投信・ＴＯＰＩＸ　Ｅｘ−Ｆｉｎａｎｃｉａｌｓ,ETF・ETN
1586,上場インデックスファンドＴＯＰＩＸ　Ｅｘ−Ｆｉｎａｎｃｉａｌｓ,ETF・ETN
